
Signature #1

@probeset predictionMCC  Heiskanen 
- - - - - - - - - - - - - - - - - - 
P01856_s_at 0.8569187 
P01911_s_at 0.8511725 
P02688_at 0.812005 
P04511_at 0.8526005 
P04999_s_at 0.8617616 
P07730_x_at 0.880623 
P08471_at 0.8528468 
P09985_s_at 0.8748893 
P10065_s_at 0.8913799 
P11013_x_at 0.836286 
P11838_x_at 0.8447214 
P12976_at 0.8493524 
P13439_x_at 0.8615751 
P13770_at 0.8711372 
P14730_s_at 0.8646417 
P14734_at 0.8334395 
P15066_at 0.8690917 
P15604_x_at 0.859746 
P17989_at 0.8740955 
P18164_at 0.8698951 
P22155_s_at 0.8489719 
P22168_at 0.8522016 
P7152_at 0.8466692

@probeset predictionMCC  Kohno 
- - - - - - - - - - - - - - - - - - 
P01856_s_at 0.5792979 
P01911_s_at 0.3955226 
P02688_at 0.5355335 
P04511_at 0.4801671 
P04999_s_at 0.5784042 
P07730_x_at 0.5771707 
P08471_at 0.3969349 
P09985_s_at 0.4196297 
P10065_s_at 0.5028931 
P11013_x_at 0.4144676 
P11838_x_at 0.4991987 
P12976_at 0.4125023 
P13439_x_at 0.4923959 
P13770_at 0.5451201 
P14730_s_at 0.43632 
P14734_at 0.4236902 
P15066_at 0.5114133 
P15604_x_at 0.6399755 
P17989_at 0.5018773 
P18164_at 0.3870255 
P22155_s_at 0.4223127 
P22168_at 0.3773629 
P7152_at 0.454482 

@probeset predictionMCC  Kuner 
- - - - - - - - - - - - - - - - - - 
P01856_s_at 0.6754528 
P01911_s_at 0.5897096 
P02688_at 0.2390093 
P04511_at 0.3228514 
P04999_s_at 0.7307488 
P07730_x_at 0.5212595 
P08471_at 0.6452825 
P09985_s_at 0.4644631 
P10065_s_at 0.3010215 
P11013_x_at 0.3239617 
P11838_x_at 0.3627554 
P12976_at 0.3957764 
P13439_x_at 0.4116965 
P13770_at 0.4546937 
P14730_s_at 0.487056 
P14734_at 0.394493 
P15066_at 0.5106965 
P15604_x_at 0.4347987 
P17989_at 0.3255625 
P18164_at 0.5022114 
P22155_s_at 0.4128403 
P22168_at 0.5519892 
P7152_at 0.465238 


@probeset predictionMCC  Kuo 
- - - - - - - - - - - - - - - - - - 
P01856_s_at 0.2525566 
P01911_s_at 0.3091641 
P02688_at 0.2090324 
P04511_at 0.3613155 
P04999_s_at 0.2510808 
P07730_x_at 0.2655082 
P08471_at 0.2131139 
P09985_s_at 0.145579 
P10065_s_at 0.3217915 
P11013_x_at 0.4136776 
P11838_x_at 0.3121579 
P12976_at 0.2713594 
P13439_x_at 0.1651031 
P13770_at 0.09309858 
P14730_s_at 0.2652851 
P14734_at -0.03063346 
P15066_at 0.1192349 
P15604_x_at 0.3245352 
P17989_at 0.3374869 
P18164_at 0.3100217 
P22155_s_at 0.3570262 
P22168_at 0.2085306 
P7152_at 0.1460655 

@probeset predictionMCC  Mitchell 
- - - - - - - - - - - - - - - - - - 
P01856_s_at 0.7804632 
P01911_s_at 0.7947907 
P02688_at 0.8103118 
P04511_at 0.8012964 
P04999_s_at 0.8028387 
P07730_x_at 0.7602325 
P08471_at 0.810883 
P09985_s_at 0.7667715 
P10065_s_at 0.7897766 
P11013_x_at 0.8074017 
P11838_x_at 0.7146731 
P12976_at 0.7822324 
P13439_x_at 0.7302846 
P13770_at 0.7681851 
P14730_s_at 0.758746 
P14734_at 0.6724876 
P15066_at 0.7226457 
P15604_x_at 0.7910141 
P17989_at 0.8214869 
P18164_at 0.7433863 
P22155_s_at 0.8387984 
P22168_at 0.8650769 
P7152_at 0.7683001 


@probeset predictionMCC  Philipsen 
- - - - - - - - - - - - - - - - - - 
P01856_s_at 0.5975968 
P01911_s_at 0.5685248 
P02688_at 0.5406353 
P04511_at 0.5444094 
P04999_s_at 0.5417643 
P07730_x_at 0.6231193 
P08471_at 0.5592934 
P09985_s_at 0.611027 
P10065_s_at 0.566102 
P11013_x_at 0.5676925 
P11838_x_at 0.5672864 
P12976_at 0.6325025 
P13439_x_at 0.5382144 
P13770_at 0.5705276 
P14730_s_at 0.5572431 
P14734_at 0.5309983 
P15066_at 0.5035359 
P15604_x_at 0.6051007 
P17989_at 0.5411857 
P18164_at 0.5574035 
P22155_s_at 0.5910853 
P22168_at 0.5337006 
P7152_at 0.5418947 


--
@probeset predictionMCC  Rotunno 
- - - - - - - - - - - - - - - - - - 
P01856_s_at 0.2095802 
P01911_s_at 0.1963487 
P02688_at 0.188007 
P04511_at 0.1971336 
P04999_s_at 0.1300498 
P07730_x_at 0.1378609 
P08471_at 0.102498 
P09985_s_at 0.2046914 
P10065_s_at 0.1234705 
P11013_x_at 0.08529573 
P11838_x_at 0.1896087 
P12976_at 0.1839669 
P13439_x_at 0.09659887 
P13770_at 0.1716454 
P14730_s_at 0.1650429 
P14734_at 0.1555759 
P15066_at 0.1345227 
P15604_x_at 0.1558712 
P17989_at 0.1520523 
P18164_at 0.093388 
P22155_s_at 0.1059181 
P22168_at 0.07842408 
P7152_at 0.101586 


@probeset predictionMCC  Rousseaux 
- - - - - - - - - - - - - - - - - - 
P01856_s_at 0.6600275 
P01911_s_at 0.6959001 
P02688_at 0.7433089 
P04511_at 0.635723 
P04999_s_at 0.7759788 
P07730_x_at 0.713756 
P08471_at 0.7276429 
P09985_s_at 0.7511467 
P10065_s_at 0.8114928 
P11013_x_at 0.6342876 
P11838_x_at 0.731338 
P12976_at 0.5803703 
P13439_x_at 0.7017552 
P13770_at 0.789352 
P14730_s_at 0.6169265 
P14734_at 0.6942865 
P15066_at 0.5054298 
P15604_x_at 0.6033384 
P17989_at 0.7545197 
P18164_at 0.7855355 
P22155_s_at 0.6811634 
P22168_at 0.7537589 
P7152_at 0.758439 


@probeset predictionMCC  Spira 
- - - - - - - - - - - - - - - - - - 
P01856_s_at 0.7735641 
P01911_s_at 0.7890517 
P02688_at 0.7823369 
P04511_at 0.7411473 
P04999_s_at 0.6413026 
P07730_x_at 0.7569735 
P08471_at 0.7686247 
P09985_s_at 0.6921927 
P10065_s_at 0.744072 
P11013_x_at 0.6634427 
P11838_x_at 0.6923522 
P12976_at 0.725439 
P13439_x_at 0.7134144 
P13770_at 0.7604686 
P14730_s_at 0.6979879 
P14734_at 0.7050467 
P15066_at 0.7553056 
P15604_x_at 0.6820277 
P17989_at 0.6039862 
P18164_at 0.743451 
P22155_s_at 0.6919906 
P22168_at 0.6751036 
P7152_at 0.6551391 

--
@probeset predictionMCC  Tsay 
- - - - - - - - - - - - - - - - - - 
P01856_s_at 0.2594869 
P01911_s_at 0.1407376 
P02688_at 0.423917 
P04511_at 0.2866125 
P04999_s_at 0.2372123 
P07730_x_at 0.1779552 
P08471_at 0.2862713 
P09985_s_at 0.1614971 
P10065_s_at 0.5153673 
P11013_x_at 0.2084814 
P11838_x_at 0.2834762 
P12976_at 0.1462522 
P13439_x_at 0.2676444 
P13770_at 0.2175164 
P14730_s_at 0.1185136 
P14734_at 0.2774265 
P15066_at 0.1683463 
P15604_x_at 0.2628139 
P17989_at 0.1193473 
P18164_at 0.1229943 
P22155_s_at 0.296979 
P22168_at 0.1659865 
P7152_at 0.1392217 


--
@probeset predictionMCC  Wachi 
- - - - - - - - - - - - - - - - - - 
P01856_s_at 1 
P01911_s_at 1 
P02688_at 1 
P04511_at 1 
P04999_s_at 1 
P07730_x_at 0.95 
P08471_at 1 
P09985_s_at 1 
P10065_s_at 1 
P11013_x_at 1 
P11838_x_at 1 
P12976_at 1 
P13439_x_at 0.95 
P13770_at 0.95 
P14730_s_at 0.95 
P14734_at 1 
P15066_at 1 
P15604_x_at 1 
P17989_at 0.75 
P18164_at 1 
P22155_s_at 1 
P22168_at 1 
P7152_at 1 

--
@probeset predictionMCC  Want 
- - - - - - - - - - - - - - - - - - 
P01856_s_at 0.1336551 
P01911_s_at 0.2174669 
P02688_at 0.1613768 
P04511_at 0.2431195 
P04999_s_at 0.1662653 
P07730_x_at 0.2096924 
P08471_at 0.1724781 
P09985_s_at 0.1389058 
P10065_s_at -0.001054419 
P11013_x_at 0.226326 
P11838_x_at 0.09257099 
P12976_at 0.1597003 
P13439_x_at 0.2689061 
P13770_at 0.190974 
P14730_s_at 0.1832995 
P14734_at 0.096816 
P15066_at 0.2174992 
P15604_x_at 0.2213778 
P17989_at 0.1624102 
P18164_at 0.2463048 
P22155_s_at 0.214408 
P22168_at 0.1987763 
P7152_at 0.2810981 

--
@probeset predictionMCC  Xu 
- - - - - - - - - - - - - - - - - - 
P01856_s_at 0.4821367 
P01911_s_at 0.3732051 
P02688_at 0.4220085 
P04511_at 0.2553418 
P04999_s_at 0.7220085 
P07730_x_at 0.6464102 
P08471_at 0.3976068 
P09985_s_at 0.4041452 
P10065_s_at 0.4244017 
P11013_x_at 0.4309401 
P11838_x_at 0.6041452 
P12976_at 0.5618802 
P13439_x_at 0.4488034 
P13770_at 0.5309401 
P14730_s_at 0.6065384 
P14734_at 0.3976068 
